Network,m,beta,mu,SteadyState
graphs/ER-1000.adjlist,9,0.2,1,0.1494
graphs/ER-1000.adjlist,9,0.205,1,0.1648
graphs/ER-1000.adjlist,9,0.21,1,0.1772
graphs/ER-1000.adjlist,9,0.215,1,0.184
graphs/ER-1000.adjlist,9,0.22,1,0.1957
graphs/ER-1000.adjlist,9,0.225,1,0.2074
graphs/ER-1000.adjlist,9,0.23,1,0.2149
graphs/ER-1000.adjlist,9,0.235,1,0.2231
graphs/ER-1000.adjlist,9,0.24,1,0.2319
graphs/ER-1000.adjlist,9,0.245,1,0.2417
graphs/ER-1000.adjlist,9,0.25,1,0.2489
graphs/ER-1000.adjlist,9,0.255,1,0.2577
graphs/ER-1000.adjlist,9,0.26,1,0.2635
graphs/ER-1000.adjlist,9,0.265,1,0.2692
graphs/ER-1000.adjlist,9,0.27,1,0.2789
graphs/ER-1000.adjlist,9,0.275,1,0.2835
graphs/ER-1000.adjlist,9,0.28,1,0.2904
graphs/ER-1000.adjlist,10,0.16,1,0.0398
graphs/ER-1000.adjlist,10,0.165,1,0.0622
graphs/ER-1000.adjlist,10,0.17,1,0.0809
graphs/ER-1000.adjlist,10,0.175,1,0.097
graphs/ER-1000.adjlist,10,0.18,1,0.1123
graphs/ER-1000.adjlist,10,0.185,1,0.1256
graphs/ER-1000.adjlist,10,0.19,1,0.1401
graphs/ER-1000.adjlist,10,0.195,1,0.1511
graphs/ER-1000.adjlist,10,0.2,1,0.1635
graphs/ER-1000.adjlist,10,0.205,1,0.1748
graphs/ER-1000.adjlist,10,0.21,1,0.185
graphs/ER-1000.adjlist,10,0.215,1,0.1969
graphs/ER-1000.adjlist,10,0.22,1,0.2055
graphs/ER-1000.adjlist,10,0.225,1,0.2135
graphs/ER-1000.adjlist,10,0.23,1,0.2248
graphs/ER-1000.adjlist,10,0.235,1,0.2321
graphs/ER-1000.adjlist,10,0.24,1,0.2431
graphs/ER-1000.adjlist,10,0.245,1,0.2488
graphs/ER-1000.adjlist,10,0.25,1,0.2567
graphs/ER-1000.adjlist,10,0.255,1,0.2654
graphs/ER-1000.adjlist,10,0.26,1,0.2727
graphs/ER-1000.adjlist,10,0.265,1,0.2771
graphs/ER-1000.adjlist,10,0.27,1,0.2857
graphs/ER-1000.adjlist,10,0.275,1,0.2909
graphs/ER-1000.adjlist,10,0.28,1,0.2954
graphs/ER-1000.adjlist,11,0.16,1,0.0592
graphs/ER-1000.adjlist,11,0.165,1,0.0766
graphs/ER-1000.adjlist,11,0.17,1,0.093
graphs/ER-1000.adjlist,11,0.175,1,0.1101
graphs/ER-1000.adjlist,11,0.18,1,0.1257
graphs/ER-1000.adjlist,11,0.185,1,0.1382
graphs/ER-1000.adjlist,11,0.19,1,0.1507
graphs/ER-1000.adjlist,11,0.195,1,0.162
graphs/ER-1000.adjlist,11,0.2,1,0.1743
graphs/ER-1000.adjlist,11,0.205,1,0.185
graphs/ER-1000.adjlist,11,0.21,1,0.1955
graphs/ER-1000.adjlist,11,0.215,1,0.2064
graphs/ER-1000.adjlist,11,0.22,1,0.215
graphs/ER-1000.adjlist,11,0.225,1,0.2231
graphs/ER-1000.adjlist,11,0.23,1,0.2327
graphs/ER-1000.adjlist,11,0.235,1,0.2412
graphs/ER-1000.adjlist,11,0.24,1,0.25
graphs/ER-1000.adjlist,11,0.245,1,0.2572
graphs/ER-1000.adjlist,11,0.25,1,0.2645
graphs/ER-1000.adjlist,11,0.255,1,0.2701
graphs/ER-1000.adjlist,11,0.26,1,0.2794
graphs/ER-1000.adjlist,11,0.265,1,0.285
graphs/ER-1000.adjlist,11,0.27,1,0.2922
graphs/ER-1000.adjlist,11,0.275,1,0.2994
graphs/ER-1000.adjlist,11,0.28,1,0.3043
graphs/ER-1000.adjlist,12,0.16,1,0.0755
graphs/ER-1000.adjlist,12,0.165,1,0.0906
graphs/ER-1000.adjlist,12,0.17,1,0.107
graphs/ER-1000.adjlist,12,0.175,1,0.12
graphs/ER-1000.adjlist,12,0.18,1,0.138
graphs/ER-1000.adjlist,12,0.185,1,0.1485
graphs/ER-1000.adjlist,12,0.19,1,0.1626
graphs/ER-1000.adjlist,12,0.195,1,0.1726
graphs/ER-1000.adjlist,12,0.2,1,0.1841
graphs/ER-1000.adjlist,12,0.205,1,0.1956
graphs/ER-1000.adjlist,12,0.21,1,0.2054
graphs/ER-1000.adjlist,12,0.215,1,0.2155
graphs/ER-1000.adjlist,12,0.22,1,0.2234
graphs/ER-1000.adjlist,12,0.225,1,0.2337
graphs/ER-1000.adjlist,12,0.23,1,0.241
graphs/ER-1000.adjlist,12,0.235,1,0.252
graphs/ER-1000.adjlist,12,0.24,1,0.2552
graphs/ER-1000.adjlist,12,0.245,1,0.2649
graphs/ER-1000.adjlist,12,0.25,1,0.2734
graphs/ER-1000.adjlist,12,0.255,1,0.2796
graphs/ER-1000.adjlist,12,0.26,1,0.2867
graphs/ER-1000.adjlist,12,0.265,1,0.29
graphs/ER-1000.adjlist,12,0.27,1,0.2965
graphs/ER-1000.adjlist,12,0.275,1,0.3049
graphs/ER-1000.adjlist,12,0.28,1,0.3093
graphs/ER-1000.adjlist,13,0.16,1,0.0838
graphs/ER-1000.adjlist,13,0.165,1,0.1018
graphs/ER-1000.adjlist,13,0.17,1,0.1165
graphs/ER-1000.adjlist,13,0.175,1,0.1316
graphs/ER-1000.adjlist,13,0.18,1,0.1459
graphs/ER-1000.adjlist,13,0.185,1,0.1575
graphs/ER-1000.adjlist,13,0.19,1,0.171
graphs/ER-1000.adjlist,13,0.195,1,0.1833
graphs/ER-1000.adjlist,13,0.2,1,0.1934
graphs/ER-1000.adjlist,13,0.205,1,0.2049
graphs/ER-1000.adjlist,13,0.21,1,0.2141
graphs/ER-1000.adjlist,13,0.215,1,0.2246
graphs/ER-1000.adjlist,13,0.22,1,0.2328
graphs/ER-1000.adjlist,13,0.225,1,0.2407
graphs/ER-1000.adjlist,13,0.23,1,0.2491
graphs/ER-1000.adjlist,13,0.235,1,0.2577
graphs/ER-1000.adjlist,13,0.24,1,0.2634
graphs/ER-1000.adjlist,13,0.245,1,0.2714
graphs/ER-1000.adjlist,13,0.25,1,0.2793
graphs/ER-1000.adjlist,13,0.255,1,0.2835
graphs/ER-1000.adjlist,13,0.26,1,0.2918
graphs/ER-1000.adjlist,13,0.265,1,0.2973
graphs/ER-1000.adjlist,13,0.27,1,0.304
graphs/ER-1000.adjlist,13,0.275,1,0.3093
graphs/ER-1000.adjlist,13,0.28,1,0.3165
graphs/ER-1000.adjlist,14,0.16,1,0.1002
graphs/ER-1000.adjlist,14,0.165,1,0.1171
