Network,m,beta,mu,SteadyState
graphs/BA-1000.adjlist,11,0.12,1,0.0369
graphs/BA-1000.adjlist,11,0.125,1,0.0526
graphs/BA-1000.adjlist,11,0.13,1,0.0636
graphs/BA-1000.adjlist,11,0.135,1,0.0747
graphs/BA-1000.adjlist,11,0.14,1,0.0855
graphs/BA-1000.adjlist,11,0.145,1,0.0964
graphs/BA-1000.adjlist,11,0.15,1,0.1052
graphs/BA-1000.adjlist,11,0.155,1,0.116
graphs/BA-1000.adjlist,11,0.16,1,0.1255
graphs/BA-1000.adjlist,11,0.165,1,0.1343
graphs/BA-1000.adjlist,11,0.17,1,0.1437
graphs/BA-1000.adjlist,11,0.175,1,0.153
graphs/BA-1000.adjlist,11,0.18,1,0.1627
graphs/BA-1000.adjlist,11,0.185,1,0.1706
graphs/BA-1000.adjlist,11,0.19,1,0.1789
graphs/BA-1000.adjlist,11,0.195,1,0.1875
graphs/BA-1000.adjlist,12,0.08,1,0.0
graphs/BA-1000.adjlist,12,0.085,1,0.0
graphs/BA-1000.adjlist,12,0.09,1,0.0
graphs/BA-1000.adjlist,12,0.095,1,0.0
graphs/BA-1000.adjlist,12,0.1,1,0.0002
graphs/BA-1000.adjlist,12,0.105,1,0.001
graphs/BA-1000.adjlist,12,0.11,1,0.0097
graphs/BA-1000.adjlist,12,0.115,1,0.0252
graphs/BA-1000.adjlist,12,0.12,1,0.0434
graphs/BA-1000.adjlist,12,0.125,1,0.0589
graphs/BA-1000.adjlist,12,0.13,1,0.0681
graphs/BA-1000.adjlist,12,0.135,1,0.0797
graphs/BA-1000.adjlist,12,0.14,1,0.0924
graphs/BA-1000.adjlist,12,0.145,1,0.1
graphs/BA-1000.adjlist,12,0.15,1,0.112
graphs/BA-1000.adjlist,12,0.155,1,0.121
graphs/BA-1000.adjlist,12,0.16,1,0.1304
graphs/BA-1000.adjlist,12,0.165,1,0.1425
graphs/BA-1000.adjlist,12,0.17,1,0.1491
graphs/BA-1000.adjlist,12,0.175,1,0.1598
graphs/BA-1000.adjlist,12,0.18,1,0.1686
graphs/BA-1000.adjlist,12,0.185,1,0.1763
graphs/BA-1000.adjlist,12,0.19,1,0.1841
graphs/BA-1000.adjlist,12,0.195,1,0.1936
graphs/BA-1000.adjlist,13,0.08,1,0.0
graphs/BA-1000.adjlist,13,0.085,1,0.0
graphs/BA-1000.adjlist,13,0.09,1,0.0
graphs/BA-1000.adjlist,13,0.095,1,0.0001
graphs/BA-1000.adjlist,13,0.1,1,0.0002
graphs/BA-1000.adjlist,13,0.105,1,0.0024
graphs/BA-1000.adjlist,13,0.11,1,0.0109
graphs/BA-1000.adjlist,13,0.115,1,0.0312
graphs/BA-1000.adjlist,13,0.12,1,0.051
graphs/BA-1000.adjlist,13,0.125,1,0.0628
graphs/BA-1000.adjlist,13,0.13,1,0.0743
graphs/BA-1000.adjlist,13,0.135,1,0.0878
graphs/BA-1000.adjlist,13,0.14,1,0.096
graphs/BA-1000.adjlist,13,0.145,1,0.1066
graphs/BA-1000.adjlist,13,0.15,1,0.1157
graphs/BA-1000.adjlist,13,0.155,1,0.1264
graphs/BA-1000.adjlist,13,0.16,1,0.1393
graphs/BA-1000.adjlist,13,0.165,1,0.1476
graphs/BA-1000.adjlist,13,0.17,1,0.1576
graphs/BA-1000.adjlist,13,0.175,1,0.1663
graphs/BA-1000.adjlist,13,0.18,1,0.1751
graphs/BA-1000.adjlist,13,0.185,1,0.1829
graphs/BA-1000.adjlist,13,0.19,1,0.192
graphs/BA-1000.adjlist,13,0.195,1,0.2001
graphs/BA-1000.adjlist,14,0.08,1,0.0
graphs/BA-1000.adjlist,14,0.085,1,0.0
graphs/BA-1000.adjlist,14,0.09,1,0.0
graphs/BA-1000.adjlist,14,0.095,1,0.0
graphs/BA-1000.adjlist,14,0.1,1,0.0005
graphs/BA-1000.adjlist,14,0.105,1,0.0041
graphs/BA-1000.adjlist,14,0.11,1,0.0171
graphs/BA-1000.adjlist,14,0.115,1,0.0404
graphs/BA-1000.adjlist,14,0.12,1,0.0536
graphs/BA-1000.adjlist,14,0.125,1,0.0691
graphs/BA-1000.adjlist,14,0.13,1,0.0782
graphs/BA-1000.adjlist,14,0.135,1,0.0902
graphs/BA-1000.adjlist,14,0.14,1,0.101
graphs/BA-1000.adjlist,14,0.145,1,0.1129
graphs/BA-1000.adjlist,14,0.15,1,0.1239
graphs/BA-1000.adjlist,14,0.155,1,0.1336
graphs/BA-1000.adjlist,14,0.16,1,0.1452
graphs/BA-1000.adjlist,14,0.165,1,0.155
graphs/BA-1000.adjlist,14,0.17,1,0.1635
graphs/BA-1000.adjlist,14,0.175,1,0.1726
graphs/BA-1000.adjlist,14,0.18,1,0.182
graphs/BA-1000.adjlist,14,0.185,1,0.1914
graphs/BA-1000.adjlist,14,0.19,1,0.1987
graphs/BA-1000.adjlist,14,0.195,1,0.2072
graphs/BA-1000.adjlist,15,0.08,1,0.0
graphs/BA-1000.adjlist,15,0.085,1,0.0
graphs/BA-1000.adjlist,15,0.09,1,0.0
graphs/BA-1000.adjlist,15,0.095,1,0.0002
graphs/BA-1000.adjlist,15,0.1,1,0.0003
graphs/BA-1000.adjlist,15,0.105,1,0.0056
graphs/BA-1000.adjlist,15,0.11,1,0.0218
graphs/BA-1000.adjlist,15,0.115,1,0.0418
graphs/BA-1000.adjlist,15,0.12,1,0.0601
graphs/BA-1000.adjlist,15,0.125,1,0.0722
graphs/BA-1000.adjlist,15,0.13,1,0.0838
graphs/BA-1000.adjlist,15,0.135,1,0.0971
graphs/BA-1000.adjlist,15,0.14,1,0.1088
graphs/BA-1000.adjlist,15,0.145,1,0.1183
graphs/BA-1000.adjlist,15,0.15,1,0.129
graphs/BA-1000.adjlist,15,0.155,1,0.1407
graphs/BA-1000.adjlist,15,0.16,1,0.15
graphs/BA-1000.adjlist,15,0.165,1,0.1575
graphs/BA-1000.adjlist,15,0.17,1,0.1694
graphs/BA-1000.adjlist,15,0.175,1,0.1776
graphs/BA-1000.adjlist,15,0.18,1,0.1889
graphs/BA-1000.adjlist,15,0.185,1,0.1968
graphs/BA-1000.adjlist,15,0.19,1,0.2041
graphs/BA-1000.adjlist,15,0.195,1,0.2129

