Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,6,0.3,1,0.2654
graphs/WS-1000.adjlist,6,0.305,1,0.2736
graphs/WS-1000.adjlist,6,0.31,1,0.2817
graphs/WS-1000.adjlist,6,0.315,1,0.2906
graphs/WS-1000.adjlist,7,0.16,1,0.0
graphs/WS-1000.adjlist,7,0.165,1,0.0
graphs/WS-1000.adjlist,7,0.17,1,0.0
graphs/WS-1000.adjlist,7,0.175,1,0.0
graphs/WS-1000.adjlist,7,0.18,1,0.0
graphs/WS-1000.adjlist,7,0.185,1,0.0001
graphs/WS-1000.adjlist,7,0.19,1,0.0006
graphs/WS-1000.adjlist,7,0.195,1,0.006
graphs/WS-1000.adjlist,7,0.2,1,0.0155
graphs/WS-1000.adjlist,7,0.205,1,0.0461
graphs/WS-1000.adjlist,7,0.21,1,0.0668
graphs/WS-1000.adjlist,7,0.215,1,0.085
graphs/WS-1000.adjlist,7,0.22,1,0.1031
graphs/WS-1000.adjlist,7,0.225,1,0.1166
graphs/WS-1000.adjlist,7,0.23,1,0.1327
graphs/WS-1000.adjlist,7,0.235,1,0.1483
graphs/WS-1000.adjlist,7,0.24,1,0.159
graphs/WS-1000.adjlist,7,0.245,1,0.1725
graphs/WS-1000.adjlist,7,0.25,1,0.1846
graphs/WS-1000.adjlist,7,0.255,1,0.1969
graphs/WS-1000.adjlist,7,0.26,1,0.2079
graphs/WS-1000.adjlist,7,0.265,1,0.217
graphs/WS-1000.adjlist,7,0.27,1,0.2275
graphs/WS-1000.adjlist,7,0.275,1,0.2374
graphs/WS-1000.adjlist,7,0.28,1,0.2457
graphs/WS-1000.adjlist,7,0.285,1,0.2544
graphs/WS-1000.adjlist,7,0.29,1,0.2637
graphs/WS-1000.adjlist,7,0.295,1,0.2716
graphs/WS-1000.adjlist,7,0.3,1,0.2791
graphs/WS-1000.adjlist,7,0.305,1,0.2869
graphs/WS-1000.adjlist,7,0.31,1,0.293
graphs/WS-1000.adjlist,7,0.315,1,0.3002
graphs/WS-1000.adjlist,8,0.16,1,0.0
graphs/WS-1000.adjlist,8,0.165,1,0.0
graphs/WS-1000.adjlist,8,0.17,1,0.0
graphs/WS-1000.adjlist,8,0.175,1,0.0001
graphs/WS-1000.adjlist,8,0.18,1,0.001
graphs/WS-1000.adjlist,8,0.185,1,0.0017
graphs/WS-1000.adjlist,8,0.19,1,0.0132
graphs/WS-1000.adjlist,8,0.195,1,0.0295
graphs/WS-1000.adjlist,8,0.2,1,0.0578
graphs/WS-1000.adjlist,8,0.205,1,0.0759
graphs/WS-1000.adjlist,8,0.21,1,0.0924
graphs/WS-1000.adjlist,8,0.215,1,0.1118
graphs/WS-1000.adjlist,8,0.22,1,0.1278
graphs/WS-1000.adjlist,8,0.225,1,0.1406
graphs/WS-1000.adjlist,8,0.23,1,0.1549
graphs/WS-1000.adjlist,8,0.235,1,0.1693
graphs/WS-1000.adjlist,8,0.24,1,0.1792
graphs/WS-1000.adjlist,8,0.245,1,0.1911
graphs/WS-1000.adjlist,8,0.25,1,0.2046
graphs/WS-1000.adjlist,8,0.255,1,0.2144
graphs/WS-1000.adjlist,8,0.26,1,0.222
graphs/WS-1000.adjlist,8,0.265,1,0.2339
graphs/WS-1000.adjlist,8,0.27,1,0.243
graphs/WS-1000.adjlist,8,0.275,1,0.2493
graphs/WS-1000.adjlist,8,0.28,1,0.2607
graphs/WS-1000.adjlist,8,0.285,1,0.2678
graphs/WS-1000.adjlist,8,0.29,1,0.2746
graphs/WS-1000.adjlist,8,0.295,1,0.2824
graphs/WS-1000.adjlist,8,0.3,1,0.2904
graphs/WS-1000.adjlist,8,0.305,1,0.2987
graphs/WS-1000.adjlist,8,0.31,1,0.3036
graphs/WS-1000.adjlist,8,0.315,1,0.3113
graphs/WS-1000.adjlist,9,0.16,1,0.0
graphs/WS-1000.adjlist,9,0.165,1,0.0
graphs/WS-1000.adjlist,9,0.17,1,0.0
graphs/WS-1000.adjlist,9,0.175,1,0.0011
graphs/WS-1000.adjlist,9,0.18,1,0.0038
graphs/WS-1000.adjlist,9,0.185,1,0.0148
graphs/WS-1000.adjlist,9,0.19,1,0.0391
graphs/WS-1000.adjlist,9,0.195,1,0.0658
graphs/WS-1000.adjlist,9,0.2,1,0.0868
graphs/WS-1000.adjlist,9,0.205,1,0.1021
graphs/WS-1000.adjlist,9,0.21,1,0.1172
graphs/WS-1000.adjlist,9,0.215,1,0.1341
graphs/WS-1000.adjlist,9,0.22,1,0.1446
graphs/WS-1000.adjlist,9,0.225,1,0.162
graphs/WS-1000.adjlist,9,0.23,1,0.1727
graphs/WS-1000.adjlist,9,0.235,1,0.1857
graphs/WS-1000.adjlist,9,0.24,1,0.1961
graphs/WS-1000.adjlist,9,0.245,1,0.2088
graphs/WS-1000.adjlist,9,0.25,1,0.2155
graphs/WS-1000.adjlist,9,0.255,1,0.2259
graphs/WS-1000.adjlist,9,0.26,1,0.2381
graphs/WS-1000.adjlist,9,0.265,1,0.2455
graphs/WS-1000.adjlist,9,0.27,1,0.2559
graphs/WS-1000.adjlist,9,0.275,1,0.2645
graphs/WS-1000.adjlist,9,0.28,1,0.2715
graphs/WS-1000.adjlist,9,0.285,1,0.2783
graphs/WS-1000.adjlist,9,0.29,1,0.2849
graphs/WS-1000.adjlist,9,0.295,1,0.2929
graphs/WS-1000.adjlist,9,0.3,1,0.3
graphs/WS-1000.adjlist,9,0.305,1,0.3047
graphs/WS-1000.adjlist,9,0.31,1,0.3093
graphs/WS-1000.adjlist,9,0.315,1,0.3163
graphs/WS-1000.adjlist,10,0.16,1,0.0
graphs/WS-1000.adjlist,10,0.165,1,0.0001
graphs/WS-1000.adjlist,10,0.17,1,0.0005
graphs/WS-1000.adjlist,10,0.175,1,0.0067
graphs/WS-1000.adjlist,10,0.18,1,0.0237
graphs/WS-1000.adjlist,10,0.185,1,0.0496
graphs/WS-1000.adjlist,10,0.19,1,0.0687
graphs/WS-1000.adjlist,10,0.195,1,0.0929
graphs/WS-1000.adjlist,10,0.2,1,0.1084
graphs/WS-1000.adjlist,10,0.205,1,0.125
graphs/WS-1000.adjlist,10,0.21,1,0.1379
graphs/WS-1000.adjlist,10,0.215,1,0.1516
graphs/WS-1000.adjlist,10,0.22,1,0.1639
graphs/WS-1000.adjlist,10,0.225,1,0.1762
graphs/WS-1000.adjlist,10,0.23,1,0.1885
graphs/WS-1000.adjlist,10,0.235,1,0.1985
graphs/WS-1000.adjlist,10,0.24,1,0.2087
graphs/WS-1000.adjlist,10,0.245,1,0.2212
graphs/WS-1000.adjlist,10,0.25,1,0.2284
graphs/WS-1000.adjlist,10,0.255,1,0.2397
graphs/WS-1000.adjlist,10,0.26,1,0.2492
graphs/WS-1000.adjlist,10,0.265,1,0.2583
graphs/WS-1000.adjlist,10,0.27,1,0.2677
graphs/WS-1000.adjlist,10,0.275,1,0.2733
graphs/WS-1000.adjlist,10,0.28,1,0.2815
graphs/WS-1000.adjlist,10,0.285,1,0.2888
graphs/WS-1000.adjlist,10,0.29,1,0.2962
graphs/WS-1000.adjlist,10,0.295,1,0.3018
graphs/WS-1000.adjlist,10,0.3,1,0.3082
graphs/WS-1000.adjlist,10,0.305,1,0.3166
graphs/WS-1000.adjlist,10,0.31,1,0.3202
graphs/WS-1000.adjlist,10,0.315,1,0.3279
graphs/WS-1000.adjlist,11,0.16,1,0.0001
graphs/WS-1000.adjlist,11,0.165,1,0.0012
graphs/WS-1000.adjlist,11,0.17,1,0.0087
graphs/WS-1000.adjlist,11,0.175,1,0.028
graphs/WS-1000.adjlist,11,0.18,1,0.0553
